timestamp,open,high,low,close,adjusted close,volume,dividend amount
2014-04-04,191.6400,195.1300,191.2800,191.7700,112.3462,29036500,0.0000
2014-03-28,187.4300,195.6300,187.3700,190.4500,111.5729,35465000,0.0000
2014-03-21,182.6600,188.7000,182.6600,186.6700,109.3584,30821100,0.0000
2014-03-14,187.5500,188.4500,182.2100,182.2100,106.7456,24057200,0.0000
2014-03-07,183.3300,188.9200,182.8200,187.6800,109.9501,20103400,0.0000
2014-02-28,182.8200,186.1200,182.8200,185.1700,108.4797,20734000,0.0000
2014-02-21,183.1800,185.7100,182.3200,182.7900,107.0854,19774200,0.0000
2014-02-14,176.9700,184.4300,176.2500,183.6900,107.6126,21312600,0.0000
2014-02-07,176.0200,177.5600,172.1900,177.2500,103.8398,25234000,0.9500
2014-01-31,179.6050,179.6500,175.3400,176.6800,102.9460,25559900,0.0000
2014-01-24,190.2300,190.3900,179.6400,179.6400,104.6707,38736900,0.0000
2014-01-17,186.2600,190.8100,183.8600,190.0900,110.7596,27635300,0.0000
2014-01-10,187.1500,190.3500,185.3000,187.2600,109.1107,22947500,0.0000
2014-01-03,185.3200,187.7900,184.6700,186.6400,108.7494,15248000,0.0000
2013-12-27,181.0500,186.5000,180.6100,185.0800,107.8404,12400800,0.0000
2013-12-20,173.2200,182.0000,172.7300,180.0200,104.8921,32267100,0.0000
2013-12-13,177.9900,178.1520,172.7300,172.8000,100.6853,21870800,0.0000
2013-12-06,179.4600,179.5900,175.1600,177.6700,103.5229,24816100,0.0000
2013-11-29,180.2500,180.7600,177.3100,179.6800,104.6940,20384900,0.0000
2013-11-22,183.5200,186.2400,179.9200,181.3000,105.6379,25637400,0.0000
2013-11-15,180.1900,184.0487,179.6600,183.1900,106.7392,25682800,0.0000
2013-11-08,179.9000,181.3900,177.3500,179.9900,104.8747,25635300,0.9500
2013-11-01,177.0400,182.3200,176.2000,179.2300,103.8811,25853600,0.0000
2013-10-25,174.4200,179.1000,172.6301,176.8500,102.5016,29861500,0.0000
2013-10-18,185.4100,186.9900,172.5700,173.7800,100.7223,45663100,0.0000
2013-10-11,181.8500,186.2300,178.7100,186.1600,107.8977,20859700,0.0000
2013-10-04,185.5600,186.7400,183.0000,184.1000,106.7037,16351900,0.0000
2013-09-27,190.0600,192.4100,186.4500,186.9200,108.3382,15079700,0.0000
2013-09-20,193.7000,194.8900,190.0200,190.0200,110.1349,22379100,0.0000
