time,PLUS_DI
2021-11-30,22.4249
2021-11-29,25.4903
2021-11-26,13.2727
2021-11-24,14.8043
2021-11-23,15.6984
2021-11-22,17.1902
2021-11-19,8.4369
2021-11-18,9.0454
2021-11-17,10.0031
2021-11-16,10.7797
2021-11-15,11.5503
2021-11-12,12.5605
2021-11-11,13.6400
2021-11-10,14.6838
2021-11-09,16.3270
2021-11-08,18.2718
2021-11-05,14.9752
2021-11-04,15.0063
2021-11-03,9.9961
2021-11-02,10.1622
2021-11-01,7.6527
2021-10-29,8.3966
2021-10-28,8.8002
2021-10-27,9.3286
2021-10-26,10.2712
2021-10-25,10.7999
2021-10-22,11.3836
2021-10-21,12.6980
2021-10-20,20.9567
2021-10-19,22.3806
2021-10-18,24.8303
2021-10-15,28.5240
2021-10-14,26.9461
2021-10-13,19.0300
2021-10-12,20.5769
2021-10-11,22.5882
2021-10-08,22.3640
2021-10-07,24.9557
2021-10-06,26.8652
2021-10-05,29.7437
2021-10-04,32.7488
2021-10-01,29.0064
2021-09-30,19.1894
2021-09-29,17.9673
2021-09-28,21.3417
2021-09-27,20.8235
2021-09-24,19.4531
2021-09-23,15.6500
2021-09-22,6.8014
2021-09-21,7.7154
2021-09-20,6.1926
2021-09-17,7.1073
2021-09-16,7.6826
2021-09-15,7.8148
2021-09-14,8.8279
2021-09-13,10.7255
2021-09-10,12.1604
2021-09-09,14.2201
2021-09-08,15.6330
2021-09-07,17.2707
2021-09-03,19.8142
2021-09-02,18.4830
2021-09-01,19.7667
2021-08-31,21.2655
2021-08-30,16.9807
2021-08-27,16.2418
2021-08-26,17.4462
2021-08-25,19.7737
2021-08-24,17.8751
2021-08-23,18.3630
2021-08-20,15.3752
2021-08-19,17.2498
2021-08-18,19.5473
2021-08-17,23.2903
2021-08-16,27.1510
2021-08-13,29.8398
2021-08-12,29.2713
2021-08-11,28.8630
2021-08-10,25.5740
2021-08-09,27.7439
2021-08-06,30.1291
2021-08-05,27.4438
2021-08-04,29.1479
2021-08-03,31.6932
2021-08-02,28.4437
2021-07-30,25.1196
2021-07-29,26.6003
2021-07-28,28.3976
2021-07-27,30.3808
2021-07-26,30.2854
2021-07-23,26.9001
2021-07-22,28.5228
2021-07-21,28.4361
2021-07-20,30.4359
2021-07-19,9.4535
2021-07-16,10.7206
2021-07-15,9.3052
2021-07-14,10.0604
2021-07-13,10.9378
2021-07-12,11.5812
2021-07-09,12.5299
2021-07-08,10.3662
2021-07-07,12.0274
2021-07-06,12.8229
2021-07-02,14.6694
2021-07-01,20.7307
2021-06-30,18.7672
2021-06-29,20.9456
2021-06-28,22.6973
2021-06-25,23.5838
2021-06-24,22.1947
2021-06-23,23.9336
2021-06-22,26.1893
2021-06-21,27.9850
2021-06-18,21.4673
2021-06-17,24.3090
2021-06-16,27.9213
2021-06-15,31.8080
2021-06-14,34.2218
2021-06-11,39.1273
2021-06-10,42.1853
2021-06-09,39.5542
2021-06-08,39.6675
2021-06-07,36.2477
2021-06-04,32.7534
2021-06-03,27.0336
2021-06-02,29.0890
2021-06-01,31.7071
2021-05-28,27.0954
2021-05-27,28.2799
2021-05-26,26.3507
2021-05-25,27.5215
2021-05-24,29.7790
2021-05-21,31.3341
2021-05-20,30.4187
2021-05-19,26.7540
2021-05-18,30.1589
2021-05-17,32.7564
2021-05-14,34.2286
2021-05-13,33.4766
2021-05-12,35.2799
2021-05-11,39.5617
2021-05-10,44.7514
2021-05-07,40.9848
2021-05-06,44.5361
2021-05-05,40.2002
2021-05-04,41.6469
2021-05-03,42.0124
2021-04-30,40.9189
2021-04-29,46.6830
2021-04-28,35.3273
2021-04-27,33.9059
2021-04-26,36.3156
2021-04-23,39.2252
2021-04-22,43.1786
2021-04-21,45.5429
2021-04-20,40.1058
2021-04-19,22.0868
2021-04-16,23.5195
2021-04-15,24.1688
2021-04-14,20.7413
2021-04-13,23.0679
2021-04-12,28.4109
2021-04-09,31.3270
2021-04-08,32.4272
2021-04-07,31.3609
2021-04-06,33.0882
2021-04-05,35.9121
2021-04-01,28.5083
2021-03-31,30.7498
2021-03-30,33.6314
2021-03-29,37.1376
