time,RSI
2004-10-08,52.3339
2004-10-01,41.0672
2004-09-24,45.3963
2004-09-17,51.3978
2004-09-10,41.3698
2004-09-03,40.7479
2004-08-27,42.8234
2004-08-20,36.0248
2004-08-13,35.0249
2004-08-06,44.0447
2004-07-30,34.4901
2004-07-23,32.6980
2004-07-16,30.2445
2004-07-09,36.1796
2004-07-02,46.7901
2004-06-25,49.6044
2004-06-18,48.1815
2004-06-10,42.7810
2004-06-04,39.9199
2004-05-28,38.4941
2004-05-21,27.3053
2004-05-14,32.2642
2004-05-07,33.0892
2004-04-30,39.9391
2004-04-23,43.4962
2004-04-16,48.9557
2004-04-08,50.5622
2004-04-02,47.2380
2004-03-26,40.8216
2004-03-19,44.5958
2004-03-12,58.9406
2004-03-05,58.9845
2004-02-27,62.7712
2004-02-20,75.2899
2004-02-13,74.0679
2004-02-06,73.5129
2004-01-30,71.3625
2004-01-23,67.7844
2004-01-16,55.0381
2004-01-09,58.4721
2004-01-02,63.4318
2003-12-26,62.7335
2003-12-19,65.2245
2003-12-12,57.9334
2003-12-05,59.3970
2003-11-28,54.2816
2003-11-21,57.3045
2003-11-14,56.4259
2003-11-07,56.9968
2003-10-31,54.5986
2003-10-24,56.0040
2003-10-17,66.5100
2003-10-10,62.5286
2003-10-03,59.8139
2003-09-26,68.8182
2003-09-19,64.7625
2003-09-12,62.6085
2003-09-05,49.0389
2003-08-29,50.2599
2003-08-22,48.1962
2003-08-15,45.1766
2003-08-08,44.4813
2003-08-01,50.4369
