time,MIDPRICE
2022-07-12,122.7854
2022-07-11,122.7854
2022-07-08,122.7854
2022-07-07,122.7854
2022-07-06,122.7854
2022-07-05,122.7854
2022-07-01,121.7220
2022-06-30,121.7220
2022-06-29,121.7220
2022-06-28,121.7220
2022-06-27,121.5792
2022-06-24,120.9377
2022-06-23,120.3532
2022-06-22,121.1266
2022-06-21,121.2057
2022-06-17,121.9747
2022-06-16,122.3746
2022-06-15,122.3746
2022-06-14,122.3746
2022-06-13,122.3746
2022-06-10,123.0293
2022-06-09,122.7085
2022-06-08,121.9791
2022-06-07,120.9069
2022-06-06,120.4675
2022-06-03,117.9317
2022-06-02,117.0048
2022-06-01,117.0048
2022-05-31,116.7236
2022-05-27,116.6838
2022-05-26,116.0820
2022-05-25,116.0820
2022-05-24,116.0820
2022-05-23,116.0820
2022-05-20,116.0820
2022-05-19,117.2377
2022-05-18,117.2377
2022-05-17,117.2377
2022-05-16,116.4204
2022-05-13,116.3479
2022-05-12,116.3479
2022-05-11,116.3479
2022-05-10,116.3479
2022-05-09,117.5353
2022-05-06,117.5353
2022-05-05,117.7827
2022-05-04,118.4078
2022-05-03,118.4078
2022-05-02,116.2851
2022-04-29,116.0811
2022-04-28,116.0811
2022-04-27,115.8120
2022-04-26,115.8120
2022-04-25,115.8120
2022-04-22,115.8120
2022-04-21,115.8120
2022-04-20,114.8049
2022-04-19,111.1889
2022-04-18,111.1889
2022-04-14,111.1889
2022-04-13,111.4710
2022-04-12,112.2843
2022-04-11,112.5432
2022-04-08,112.7820
2022-04-07,112.7820
2022-04-06,113.0077
2022-04-05,113.2465
2022-04-04,113.2465
2022-04-01,113.0728
2022-03-31,112.6257
2022-03-30,112.6257
2022-03-29,111.8009
2022-03-28,110.5724
2022-03-25,110.2968
2022-03-24,109.5762
2022-03-23,109.5762
2022-03-22,109.5762
2022-03-21,109.5762
2022-03-18,109.2246
2022-03-17,108.9706
2022-03-16,108.9706
2022-03-15,108.5865
2022-03-14,108.1090
2022-03-11,108.1090
2022-03-10,108.1090
2022-03-09,107.2885
2022-03-08,107.2885
2022-03-07,107.0975
2022-03-04,106.8566
2022-03-03,107.3558
2022-03-02,108.1979
2022-03-01,108.7362
2022-02-28,109.1573
2022-02-25,110.0515
2022-02-24,110.8546
2022-02-23,112.2312
2022-02-22,112.5829
2022-02-18,112.9866
2022-02-17,113.7264
2022-02-16,115.2066
2022-02-15,115.5583
2022-02-14,115.5583
2022-02-11,116.2635
2022-02-10,116.0448
2022-02-09,116.0448
2022-02-08,116.0448
2022-02-07,114.5482
2022-02-04,112.7870
2022-02-03,112.7613
2022-02-02,112.2446
2022-02-01,112.1507
2022-01-31,112.1507
2022-01-28,112.1507
2022-01-27,112.1507
2022-01-26,112.1507
2022-01-25,112.1507
2022-01-24,111.6635
2022-01-21,113.2832
2022-01-20,114.2309
2022-01-19,115.8562
2022-01-18,115.8562
2022-01-14,115.8562
2022-01-13,115.8562
2022-01-12,115.8562
2022-01-11,115.8562
2022-01-10,117.4085
2022-01-07,116.7052
2022-01-06,116.5208
2022-01-05,115.6975
2022-01-04,114.7326
2022-01-03,111.9217
2021-12-31,111.3620
2021-12-30,110.5709
2021-12-29,109.9469
2021-12-28,109.5224
2021-12-27,108.2531
2021-12-23,107.9572
2021-12-22,107.4554
2021-12-21,107.2606
2021-12-20,106.6535
2021-12-17,106.3662
2021-12-16,104.6337
2021-12-15,103.7289
2021-12-14,103.7289
2021-12-13,103.6818
2021-12-10,103.6818
2021-12-09,102.2795
2021-12-08,102.0351
2021-12-07,101.4776
2021-12-06,101.0788
2021-12-03,100.4184
2021-12-02,100.4184
2021-12-01,100.4184
2021-11-30,100.5427
2021-11-29,100.6542
2021-11-26,100.8601
2021-11-24,101.6231
2021-11-23,101.8978
2021-11-22,102.0994
2021-11-19,102.2235
2021-11-18,102.6694
2021-11-17,103.2998
2021-11-16,103.5205
2021-11-15,103.3161
2021-11-12,102.8823
2021-11-11,102.8823
2021-11-10,102.8823
2021-11-09,102.8823
2021-11-08,102.8823
2021-11-05,102.4550
2021-11-04,102.7731
2021-11-03,104.1767
2021-11-02,107.6067
2021-11-01,107.9060
2021-10-29,109.0314
2021-10-28,109.0314
2021-10-27,109.1892
2021-10-26,109.8368
2021-10-25,109.8368
2021-10-22,109.8368
2021-10-21,110.4390
2021-10-20,115.1148
2021-10-19,115.1148
2021-10-18,115.1391
2021-10-15,115.5436
2021-10-14,115.5436
2021-10-13,115.0744
2021-10-12,114.2411
2021-10-11,114.2411
2021-10-08,114.2411
2021-10-07,114.2411
2021-10-06,113.6708
2021-10-05,113.0398
2021-10-04,112.8255
2021-10-01,111.9397
2021-09-30,110.5644
2021-09-29,110.3056
2021-09-28,110.2077
2021-09-27,109.9557
2021-09-24,109.9253
2021-09-23,110.0790
2021-09-22,110.0790
2021-09-21,110.0790
2021-09-20,110.2489
2021-09-17,111.4421
2021-09-16,111.5594
2021-09-15,111.5594
2021-09-14,111.7495
2021-09-13,112.4210
2021-09-10,112.4210
2021-09-09,112.6455
2021-09-08,112.6637
2021-09-07,112.7290
2021-09-03,112.9873
2021-09-02,112.5302
2021-09-01,112.5059
2021-08-31,112.9003
2021-08-30,113.4039
2021-08-27,113.6385
2021-08-26,113.6385
2021-08-25,113.6385
2021-08-24,113.6385
2021-08-23,113.6385
2021-08-20,113.6385
2021-08-19,113.6385
2021-08-18,114.5202
2021-08-17,114.9045
2021-08-16,114.7768
2021-08-13,114.4641
2021-08-12,114.1943
2021-08-11,114.1495
2021-08-10,114.1495
2021-08-09,114.1495
2021-08-06,114.1495
2021-08-05,113.9655
2021-08-04,113.9655
2021-08-03,113.6936
2021-08-02,113.4018
2021-07-30,112.4057
2021-07-29,112.4057
2021-07-28,112.4057
2021-07-27,112.4057
2021-07-26,112.4057
2021-07-23,112.4057
2021-07-22,112.4057
2021-07-21,112.4057
2021-07-20,112.4057
2021-07-19,111.2302
2021-07-16,113.5737
2021-07-15,113.7936
2021-07-14,113.7936
2021-07-13,113.7936
2021-07-12,113.7936
2021-07-09,113.7936
2021-07-08,113.7936
2021-07-07,113.7936
2021-07-06,113.7936
2021-07-02,114.7372
2021-07-01,116.1686
2021-06-30,116.3925
2021-06-29,117.0723
2021-06-28,117.1322
2021-06-25,117.5801
2021-06-24,117.9059
2021-06-23,118.3038
2021-06-22,118.3038
2021-06-21,118.3038
2021-06-18,118.3038
2021-06-17,119.1994
2021-06-16,118.7036
2021-06-15,118.7036
