time,TEMA
2004-03-26,47.6937
2004-03-19,48.7831
2004-03-12,49.9376
2004-03-05,50.2822
2004-02-27,50.7358
2004-02-20,51.0265
2004-02-13,50.4837
2004-02-06,49.8276
2004-01-30,48.8898
2004-01-23,47.8692
2004-01-16,46.9690
2004-01-09,47.2474
2004-01-02,47.3577
2003-12-26,47.1065
2003-12-19,46.7892
2003-12-12,46.0826
2003-12-05,46.0093
2003-11-28,45.7514
2003-11-21,45.9889
2003-11-14,46.0166
2003-11-07,46.1435
2003-10-31,46.2249
2003-10-24,46.6674
2003-10-17,47.0629
2003-10-10,46.2838
2003-10-03,45.8547
2003-09-26,45.6490
2003-09-19,44.2512
2003-09-12,43.0012
2003-09-05,41.5628
2003-08-29,41.5133
2003-08-22,41.3123
2003-08-15,41.3205
2003-08-08,41.7688
2003-08-01,42.5522
