time,DEMA
2007-10-05,61.2208
2007-09-28,60.8312
2007-09-21,60.4331
2007-09-14,60.3683
2007-09-07,59.9035
2007-08-31,59.1931
2007-08-24,58.9724
2007-08-17,59.1213
2007-08-10,58.7916
2007-08-03,58.6280
2007-07-27,57.5151
2007-07-20,56.1450
2007-07-13,55.7234
2007-07-06,55.0862
2007-06-29,54.9694
2007-06-22,54.9323
2007-06-15,54.7227
2007-06-08,54.9572
2007-06-01,54.3920
2007-05-25,53.8042
2007-05-18,52.6094
2007-05-11,51.2803
2007-05-04,50.2676
2007-04-27,49.2738
2007-04-20,49.2590
2007-04-13,49.3201
2007-04-05,49.0691
2007-03-30,49.1728
2007-03-23,49.2353
2007-03-16,49.5218
2007-03-09,50.0534
2007-03-02,51.4545
2007-02-23,51.5619
2007-02-16,51.4895
2007-02-09,51.3241
2007-02-02,51.0472
2007-01-26,50.8808
2007-01-19,51.0001
2007-01-12,50.4305
2007-01-05,49.8242
2006-12-29,49.2686
2006-12-22,48.9748
2006-12-15,48.5457
2006-12-08,48.2047
2006-12-01,47.9786
2006-11-24,47.5768
2006-11-17,46.7431
2006-11-10,46.0376
2006-11-03,45.1694
2006-10-27,44.2362
2006-10-20,43.0047
2006-10-13,42.2311
2006-10-06,41.8440
2006-09-29,41.6226
2006-09-22,41.3373
2006-09-15,40.7301
2006-09-08,40.3527
2006-09-01,39.7056
2006-08-25,39.1293
2006-08-18,38.4537
2006-08-11,38.3974
2006-08-04,38.4592
2006-07-28,38.3785
2006-07-21,38.6391
2006-07-14,39.3719
2006-07-07,39.7292
2006-06-30,39.9159
2006-06-23,40.2960
2006-06-16,40.5880
2006-06-09,41.0778
2006-06-02,41.4204
2006-05-26,41.6004
2006-05-19,41.9378
2006-05-12,41.9673
2006-05-05,41.8230
2006-04-28,41.6986
2006-04-21,41.8244
2006-04-13,41.8866
2006-04-07,41.8060
2006-03-31,41.6450
2006-03-24,41.3710
2006-03-17,40.9776
2006-03-10,40.8091
2006-03-03,40.9370
2006-02-24,41.1324
2006-02-17,41.3839
2006-02-10,41.4532
2006-02-03,41.9162
2006-01-27,42.3007
2006-01-20,42.7503
2006-01-13,43.0205
2006-01-06,43.1299
2005-12-30,43.5973
2005-12-23,43.9800
2005-12-16,44.5320
2005-12-09,44.3930
2005-12-02,43.8635
2005-11-25,43.0353
2005-11-18,42.1735
2005-11-11,41.7597
2005-11-04,41.4994
2005-10-28,41.5009
2005-10-21,41.1255
2005-10-14,40.7944
2005-10-07,40.6005
2005-09-30,40.5705
2005-09-23,40.9619
2005-09-16,41.1627
2005-09-09,41.1363
2005-09-02,41.3946
2005-08-26,41.6649
2005-08-19,41.3948
2005-08-12,41.2113
2005-08-05,40.6130
2005-07-29,39.9398
2005-07-22,38.8153
2005-07-15,37.7644
2005-07-08,36.9606
2005-07-01,37.0475
2005-06-24,37.2893
2005-06-17,37.2041
2005-06-10,37.4832
2005-06-03,37.6182
2005-05-27,37.6763
2005-05-20,37.8837
2005-05-13,38.9511
2005-05-06,39.9603
2005-04-29,41.0565
2005-04-22,42.9501
2005-04-15,45.1044
2005-04-08,45.7301
2005-04-01,45.9709
2005-03-24,46.1640
2005-03-18,46.7224
2005-03-11,47.0111
2005-03-04,47.2104
2005-02-25,47.4376
2005-02-18,47.7088
2005-02-11,47.9572
2005-02-04,48.0552
2005-01-28,48.3317
2005-01-21,48.8999
2005-01-14,49.4269
2005-01-07,49.6258
2004-12-31,49.1403
2004-12-23,48.7365
2004-12-17,48.4563
2004-12-10,47.9292
2004-12-03,47.1770
2004-11-26,46.5676
2004-11-19,45.8621
2004-11-12,44.7143
2004-11-05,43.7339
2004-10-29,43.1583
2004-10-22,42.8248
2004-10-15,43.0641
2004-10-08,42.8358
2004-10-01,42.4820
2004-09-24,42.6633
2004-09-17,42.6244
2004-09-10,42.2239
2004-09-03,42.2140
2004-08-27,42.2463
2004-08-20,42.1602
2004-08-13,42.4071
2004-08-06,42.8087
2004-07-30,42.6512
2004-07-23,42.9120
2004-07-16,43.3622
2004-07-09,44.0979
2004-07-02,44.5427
2004-06-25,44.4345
