time,TRIMA
2005-06-10,39.6002
2005-06-03,40.3280
2005-05-27,41.2838
2005-05-20,42.5122
2005-05-13,43.8152
2005-05-06,44.9192
2005-04-29,45.8062
2005-04-22,46.5204
2005-04-15,47.0373
2005-04-08,47.3276
2005-04-01,47.5321
2005-03-24,47.7083
2005-03-18,47.8928
2005-03-11,48.0921
2005-03-04,48.3148
2005-02-25,48.5807
2005-02-18,48.9014
2005-02-11,49.2272
2005-02-04,49.4424
2005-01-28,49.5205
2005-01-21,49.5079
2005-01-14,49.3584
2005-01-07,49.0222
2004-12-31,48.5346
2004-12-23,47.9421
2004-12-17,47.2627
2004-12-10,46.5081
2004-12-03,45.7385
2004-11-26,45.0676
2004-11-19,44.5753
2004-11-12,44.2214
2004-11-05,43.9711
2004-10-29,43.8369
2004-10-22,43.7630
2004-10-15,43.6625
2004-10-08,43.5497
2004-10-01,43.4739
2004-09-24,43.4240
2004-09-17,43.3569
2004-09-10,43.3672
2004-09-03,43.4859
2004-08-27,43.6653
2004-08-20,43.9376
2004-08-13,44.3064
2004-08-06,44.7001
2004-07-30,45.0122
2004-07-23,45.1890
2004-07-16,45.2295
2004-07-09,45.1619
2004-07-02,45.0555
2004-06-25,44.9896
2004-06-18,45.0935
2004-06-10,45.3892
2004-06-04,45.8091
2004-05-28,46.2516
2004-05-21,46.6638
2004-05-14,47.0593
2004-05-07,47.3617
2004-04-30,47.6341
2004-04-23,47.9722
2004-04-16,48.4155
2004-04-08,48.8894
2004-04-02,49.3336
2004-03-26,49.7080
2004-03-19,49.8557
2004-03-12,49.7284
2004-03-05,49.3844
2004-02-27,48.9118
2004-02-20,48.3746
2004-02-13,47.8520
2004-02-06,47.4625
2004-01-30,47.1308
2004-01-23,46.8520
2004-01-16,46.5933
2004-01-09,46.3651
2004-01-02,46.1102
2003-12-26,45.8767
2003-12-19,45.7637
2003-12-12,45.7180
2003-12-05,45.7270
2003-11-28,45.8076
2003-11-21,45.9324
2003-11-14,45.9758
2003-11-07,45.8263
2003-10-31,45.5511
2003-10-24,45.1142
2003-10-17,44.4695
2003-10-10,43.6856
2003-10-03,42.9993
2003-09-26,42.4573
2003-09-19,42.0877
2003-09-12,41.9544
2003-09-05,42.0239
2003-08-29,42.2456
2003-08-22,42.4469
2003-08-15,42.5437
2003-08-08,42.6474
