time,Real Lower Band,Real Middle Band,Real Upper Band
2016-03-18,77.0492,87.8267,98.6042
2016-03-11,70.9525,84.5222,98.0919
2016-03-04,71.7802,82.6076,93.4351
2016-02-26,71.9055,80.7969,89.6883
2016-02-19,70.8362,79.4305,88.0249
2016-02-12,72.9362,78.8765,84.8167
2016-02-05,73.6942,80.0506,86.4070
2016-01-29,71.1579,81.1870,91.2160
2016-01-22,72.0601,82.8771,93.6941
2016-01-15,78.3499,84.4341,90.5183
2016-01-08,80.5309,85.0042,89.4774
2015-12-31,81.9906,86.1092,90.2278
2015-12-24,81.9816,86.2146,90.4477
2015-12-18,81.9701,86.2460,90.5219
2015-12-11,79.9374,85.8505,91.7636
2015-12-04,80.7171,86.3126,91.9081
2015-11-27,81.0124,86.1048,91.1971
2015-11-20,79.7535,86.7166,93.6796
2015-11-13,77.2371,88.0336,98.8301
2015-11-06,80.6868,90.4470,100.2072
2015-10-30,82.8114,91.0727,99.3340
2015-10-23,85.6580,91.7370,97.8160
2015-10-16,85.5810,91.7159,97.8507
2015-10-09,85.8279,91.3402,96.8525
2015-10-02,87.9238,90.2592,92.5946
2015-09-25,87.6234,90.6821,93.7409
2015-09-18,87.3520,91.1088,94.8656
2015-09-11,85.1842,92.5070,99.8299
2015-09-04,84.9620,93.4711,101.9802
2015-08-28,86.7958,95.5801,104.3644
2015-08-21,89.4516,96.8803,104.3090
2015-08-14,88.8476,99.6466,110.4455
2015-08-07,90.4103,100.8685,111.3267
2015-07-31,93.8095,101.9394,110.0692
2015-07-24,94.8072,102.3674,109.9277
2015-07-17,98.3240,103.2606,108.1973
2015-07-10,101.0216,102.5796,104.1377
2015-07-02,100.9200,102.6352,104.3503
2015-06-26,100.6998,103.1977,105.6957
2015-06-19,100.2556,104.0317,107.8078
2015-06-12,100.1639,104.8052,109.4466
2015-06-05,101.4367,105.5072,109.5778
2015-05-29,103.8158,106.1182,108.4206
2015-05-22,102.8424,105.9753,109.1083
2015-05-15,94.8176,104.4000,113.9824
2015-05-08,92.8629,102.9645,113.0662
2015-05-01,91.5576,101.3055,111.0535
2015-04-24,93.0828,99.6808,106.2789
2015-04-17,96.7032,98.8360,100.9689
2015-04-10,92.2809,98.0537,103.8265
2015-04-02,92.2488,97.5199,102.7910
2015-03-27,92.1085,97.7023,103.2961
2015-03-20,91.7364,98.1002,104.4640
2015-03-13,91.8790,97.7966,103.7141
2015-03-06,93.5997,98.0953,102.5909
2015-02-27,89.8419,97.3291,104.8162
2015-02-20,89.0222,96.4529,103.8836
2015-02-13,90.6296,95.5217,100.4139
2015-02-06,91.6334,95.2280,98.8226
2015-01-30,90.3502,95.7435,101.1368
2015-01-23,92.1331,96.8414,101.5496
2015-01-16,93.4454,97.1624,100.8793
2015-01-09,92.2828,96.9484,101.6139
2015-01-02,92.0756,97.4541,102.8327
2014-12-26,92.0647,97.4675,102.8704
2014-12-19,92.1495,97.2949,102.4402
2014-12-12,92.3350,97.9818,103.6286
2014-12-05,96.7747,98.7952,100.8156
2014-11-28,96.7725,98.7973,100.8222
2014-11-21,96.3283,98.6530,100.9778
2014-11-14,87.6563,101.0723,114.4882
2014-11-07,84.9523,103.5661,122.1799
2014-10-31,86.4402,106.6449,126.8497
2014-10-24,91.2461,109.7436,128.2411
2014-10-17,106.3401,113.5982,120.8563
2014-10-10,109.8540,114.7128,119.5715
2014-10-03,112.1679,115.3491,118.5304
2014-09-26,113.3923,115.7875,118.1827
2014-09-19,113.5899,115.8298,118.0696
2014-09-12,111.9907,115.0303,118.0700
2014-09-05,110.4794,114.4688,118.4583
2014-08-29,110.2845,114.0870,117.8894
2014-08-22,109.8271,114.2025,118.5780
2014-08-15,109.7117,114.3182,118.9247
2014-08-08,109.5068,114.2596,119.0123
2014-08-01,109.8597,114.3552,118.8506
2014-07-25,105.5811,113.4620,121.3429
2014-07-18,104.2877,111.9194,119.5511
2014-07-11,105.1041,110.7261,116.3481
2014-07-03,105.4785,110.5304,115.5824
2014-06-27,106.7403,110.0298,113.3194
2014-06-20,107.1722,110.5376,113.9030
2014-06-13,108.2917,111.1991,114.1065
2014-06-06,108.7141,112.1019,115.4896
2014-05-30,108.3809,112.5777,116.7746
2014-05-23,110.0200,113.0789,116.1377
2014-05-16,111.3153,113.4357,115.5560
2014-05-09,110.7465,114.2763,117.8060
2014-05-02,110.8241,114.3462,117.8682
2014-04-25,110.6057,114.2280,117.8503
2014-04-17,108.9382,113.8747,118.8112
2014-04-11,104.9656,112.9437,120.9219
2014-04-04,106.0927,112.0474,118.0021
2014-03-28,106.3779,111.2597,116.1414
2014-03-21,106.5373,110.3454,114.1535
2014-03-14,106.4813,109.9897,113.4981
2014-03-07,103.2117,109.3977,115.5838
2014-02-28,101.2866,107.9708,114.6550
2014-02-21,101.6296,107.1948,112.7599
2014-02-14,99.1914,107.9433,116.6953
2014-02-07,98.8058,108.2485,117.6913
2014-01-31,100.2655,109.2487,118.2319
2014-01-24,104.0936,110.2459,116.3981
2014-01-17,104.3764,110.2910,116.2056
2014-01-10,98.5969,108.2385,117.8801
2014-01-03,98.1547,107.1001,116.0455
2013-12-27,99.2110,106.2739,113.3368
2013-12-20,100.5125,105.8252,111.1379
2013-12-13,99.8563,106.2015,112.5467
2013-12-06,103.7981,107.0550,110.3119
2013-11-29,104.1789,107.1280,110.0771
2013-11-22,102.2384,106.6813,111.1243
2013-11-15,99.4255,105.6798,111.9342
2013-11-08,98.5616,105.9159,113.2702
2013-11-01,98.2121,106.2885,114.3649
2013-10-25,97.8558,107.1966,116.5374
