time,ULTOSC
2022-09-15,44.4205
2022-09-14,44.6371
2022-09-13,47.6121
2022-09-12,51.3767
2022-09-09,45.6881
2022-09-08,42.9651
2022-09-07,33.6487
2022-09-06,31.9060
2022-09-02,32.2599
2022-09-01,34.5862
2022-08-31,27.2932
2022-08-30,30.9640
2022-08-29,35.9835
2022-08-26,37.9508
2022-08-25,48.1338
2022-08-24,51.8474
2022-08-23,59.1087
2022-08-22,63.1523
2022-08-19,72.7515
2022-08-18,71.4533
2022-08-17,68.9722
2022-08-16,69.5937
2022-08-15,68.6841
2022-08-12,64.0698
2022-08-11,59.2888
2022-08-10,61.0322
2022-08-09,59.0627
2022-08-08,62.0094
2022-08-05,62.0682
2022-08-04,56.5196
2022-08-03,57.3959
2022-08-02,61.9470
2022-08-01,59.4967
2022-07-29,56.2731
2022-07-28,47.5791
2022-07-27,45.6279
2022-07-26,45.2178
2022-07-25,50.0796
2022-07-22,48.1257
2022-07-21,43.7209
2022-07-20,43.2596
2022-07-19,43.0518
2022-07-18,50.9549
2022-07-15,54.1351
2022-07-14,52.3909
2022-07-13,48.7901
2022-07-12,52.3608
2022-07-11,54.1187
2022-07-08,52.1601
2022-07-07,52.3245
2022-07-06,52.7173
2022-07-05,54.8944
2022-07-01,57.0830
2022-06-30,57.1224
2022-06-29,54.8980
2022-06-28,56.8185
2022-06-27,60.6952
2022-06-24,60.4413
2022-06-23,53.8669
2022-06-22,51.1750
2022-06-21,47.6400
2022-06-17,42.3830
2022-06-16,44.0145
2022-06-15,45.0596
2022-06-14,45.3509
2022-06-13,51.2950
2022-06-10,53.5347
2022-06-09,56.4688
2022-06-08,62.9499
2022-06-07,65.4449
2022-06-06,65.0105
2022-06-03,68.5514
2022-06-02,71.3219
2022-06-01,67.1531
2022-05-31,63.5213
2022-05-27,55.5995
2022-05-26,56.2241
2022-05-25,55.3288
2022-05-24,55.6310
2022-05-23,55.1483
2022-05-20,52.0893
2022-05-19,46.7368
2022-05-18,47.7979
2022-05-17,55.4698
2022-05-16,50.3938
2022-05-13,52.0741
2022-05-12,49.6303
2022-05-11,48.3901
2022-05-10,45.9487
2022-05-09,55.9184
2022-05-06,56.0851
2022-05-05,49.0091
2022-05-04,52.4787
2022-05-03,43.9926
2022-05-02,45.6812
2022-04-29,51.3032
2022-04-28,57.5353
2022-04-27,57.9960
2022-04-26,57.4454
2022-04-25,62.4572
2022-04-22,58.5831
2022-04-21,59.7288
2022-04-20,58.1485
2022-04-19,45.8034
2022-04-18,42.5933
2022-04-14,41.4794
2022-04-13,51.5606
2022-04-12,54.2144
2022-04-11,52.5733
2022-04-08,56.7493
2022-04-07,58.2188
2022-04-06,60.3785
2022-04-05,60.1326
2022-04-04,69.5202
2022-04-01,65.6985
2022-03-31,62.9589
2022-03-30,64.8468
2022-03-29,67.9879
2022-03-28,68.5168
2022-03-25,66.2435
2022-03-24,63.9993
2022-03-23,60.9159
2022-03-22,57.8784
2022-03-21,55.2021
2022-03-18,54.5988
2022-03-17,47.9653
2022-03-16,45.1530
2022-03-15,44.9746
2022-03-14,42.3514
2022-03-11,44.9256
2022-03-10,47.7269
2022-03-09,47.3694
2022-03-08,52.5144
2022-03-07,58.5766
2022-03-04,57.8053
2022-03-03,55.1566
2022-03-02,51.5269
2022-03-01,43.2527
2022-02-28,45.1452
2022-02-25,43.5583
2022-02-24,36.8569
2022-02-23,28.9995
2022-02-22,30.9990
2022-02-18,32.0148
2022-02-17,33.7560
2022-02-16,41.6379
2022-02-15,40.6398
2022-02-14,44.2302
2022-02-11,51.5362
2022-02-10,59.9398
2022-02-09,65.3537
2022-02-08,67.2745
2022-02-07,62.1369
2022-02-04,58.4558
2022-02-03,64.9267
2022-02-02,66.6767
2022-02-01,62.7324
2022-01-31,58.7733
2022-01-28,56.4945
2022-01-27,53.1635
2022-01-26,55.5094
2022-01-25,56.7928
2022-01-24,48.9802
2022-01-21,46.5342
2022-01-20,50.4991
2022-01-19,54.1142
2022-01-18,56.9127
2022-01-14,53.5417
2022-01-13,54.2010
2022-01-12,56.6766
2022-01-11,54.5432
2022-01-10,51.1206
2022-01-07,51.1178
2022-01-06,51.1909
2022-01-05,54.7719
2022-01-04,64.6316
2022-01-03,69.7989
2021-12-31,67.3858
2021-12-30,73.0993
2021-12-29,72.3222
2021-12-28,74.1376
2021-12-27,71.5033
2021-12-23,67.6876
2021-12-22,65.4769
2021-12-21,60.8724
2021-12-20,58.9454
2021-12-17,56.2385
2021-12-16,57.0953
2021-12-15,53.5032
2021-12-14,57.1401
2021-12-13,56.0286
2021-12-10,52.6952
2021-12-09,51.5767
2021-12-08,50.1890
2021-12-07,47.9142
2021-12-06,44.5945
2021-12-03,43.7935
2021-12-02,38.4451
2021-12-01,39.5835
2021-11-30,39.7057
2021-11-29,40.4741
2021-11-26,33.4860
2021-11-24,32.3730
2021-11-23,29.6163
2021-11-22,28.7335
2021-11-19,26.3937
2021-11-18,25.8302
2021-11-17,28.9156
2021-11-16,37.7188
2021-11-15,38.0741
2021-11-12,41.1532
2021-11-11,44.6397
2021-11-10,50.6168
2021-11-09,49.5749
2021-11-08,54.3790
2021-11-05,48.6934
2021-11-04,41.2638
2021-11-03,44.4519
2021-11-02,40.8499
2021-11-01,29.1186
2021-10-29,25.4743
2021-10-28,27.3018
2021-10-27,25.8836
2021-10-26,29.7636
2021-10-25,33.6344
2021-10-22,34.1887
2021-10-21,33.3056
2021-10-20,51.4457
2021-10-19,51.5242
2021-10-18,49.1570
2021-10-15,53.4992
2021-10-14,48.1234
2021-10-13,43.4968
2021-10-12,49.0653
2021-10-11,50.9798
2021-10-08,55.1721
2021-10-07,49.9581
2021-10-06,52.6401
