time,APO
2021-09-21,-1.3554
2021-09-20,-1.1985
2021-09-17,-1.1347
2021-09-16,-1.0049
2021-09-15,-0.9877
2021-09-14,-0.9647
2021-09-13,-0.9855
2021-09-10,-0.9630
2021-09-09,-0.9005
2021-09-08,-0.9193
2021-09-07,-0.9247
2021-09-03,-0.9673
2021-09-02,-0.9971
2021-09-01,-0.8388
2021-08-31,-0.6059
2021-08-30,-0.4391
2021-08-27,-0.1860
2021-08-26,0.0072
2021-08-25,0.1545
2021-08-24,0.2948
2021-08-23,0.5788
2021-08-20,0.7527
2021-08-19,0.8967
2021-08-18,1.1870
2021-08-17,1.2340
2021-08-16,1.1235
2021-08-13,1.0167
2021-08-12,0.9381
2021-08-11,0.9572
2021-08-10,1.0436
2021-08-09,1.0239
2021-08-06,0.7571
2021-08-05,0.4943
2021-08-04,0.2222
2021-08-03,-0.1781
2021-08-02,-0.6079
2021-07-30,-0.7961
2021-07-29,-0.9844
2021-07-28,-1.2306
2021-07-27,-1.4373
2021-07-26,-1.5307
2021-07-23,-1.7530
2021-07-22,-2.0539
2021-07-21,-2.4485
2021-07-20,-2.8023
2021-07-19,-2.6924
2021-07-16,-2.5028
2021-07-15,-2.4216
2021-07-14,-2.3642
2021-07-13,-2.1486
2021-07-12,-2.0244
2021-07-09,-1.9209
2021-07-08,-1.7275
2021-07-07,-1.4398
2021-07-06,-1.3404
2021-07-02,-1.0410
2021-07-01,-0.6238
2021-06-30,-0.3621
2021-06-29,-0.0754
2021-06-28,0.3314
2021-06-25,0.7246
2021-06-24,1.0921
2021-06-23,1.3811
2021-06-22,1.5929
2021-06-21,1.7152
2021-06-18,1.7182
2021-06-17,1.9475
2021-06-16,1.8959
2021-06-15,1.6744
2021-06-14,1.4252
2021-06-11,1.0825
2021-06-10,0.8195
2021-06-09,0.6290
2021-06-08,0.4655
2021-06-07,0.3895
2021-06-04,0.2333
2021-06-03,0.1844
2021-06-02,0.3126
2021-06-01,0.4195
2021-05-28,0.5212
2021-05-27,0.4827
2021-05-26,0.5668
2021-05-25,0.9607
2021-05-24,1.4458
2021-05-21,1.9702
2021-05-20,2.3138
2021-05-19,2.7216
