time,FAMA,MAMA
2023-01-13,111.1040,120.4049
2023-01-12,111.0573,120.2938
2023-01-11,111.0109,120.1846
2023-01-10,110.9648,120.0770
2023-01-09,110.9190,119.9724
2023-01-06,110.8735,119.8782
2023-01-05,110.8282,119.7817
2023-01-04,110.7832,119.7077
2023-01-03,110.7384,119.6195
2022-12-30,110.6937,119.5399
2022-12-29,110.6493,119.4655
2022-12-28,110.6050,119.3888
2022-12-27,110.5609,119.3208
2022-12-23,110.5168,119.2303
2022-12-22,110.4730,119.1459
2022-12-21,110.4295,119.0676
2022-12-20,110.3861,118.9771
2022-12-19,110.3429,118.8935
2022-12-16,110.2999,118.8309
2022-12-15,110.2570,118.7560
2022-12-14,110.2143,118.6603
2022-12-13,110.1719,118.4954
2022-12-12,110.1301,118.3224
2022-12-09,110.0889,118.1601
2022-12-08,110.0483,118.0157
2022-12-07,110.0083,117.8632
2022-12-06,109.9688,117.7138
2022-12-05,109.9299,117.5609
2022-12-02,109.8916,117.4072
2022-12-01,109.8538,117.2405
2022-11-30,109.8167,117.0676
2022-11-29,109.7802,116.8954
2022-11-28,109.7445,116.7433
2022-11-25,109.7093,116.5925
2022-11-23,109.6747,116.4203
2022-11-22,109.6408,116.2429
2022-11-21,109.6077,116.0605
2022-11-18,109.5752,115.8983
2022-11-17,109.5435,115.7257
2022-11-16,109.5124,115.5655
2022-11-15,109.4820,115.4180
2022-11-14,109.4521,115.2705
2022-11-11,109.4229,115.1229
2022-11-10,109.3943,114.9832
2022-11-09,109.3662,114.8597
2022-11-08,109.3386,114.7698
2022-11-07,109.3113,114.6701
2022-11-04,109.2844,114.5847
2022-11-03,109.2577,114.5108
2022-11-02,109.2313,114.4585
2022-11-01,109.2051,114.3845
2022-10-31,109.1790,114.2975
2022-10-28,109.1533,114.2087
2022-10-27,109.1279,114.1171
2022-10-26,109.1028,114.0582
2022-10-25,109.0779,113.9965
2022-10-24,109.0532,113.9529
2022-10-21,109.0286,113.9110
2022-10-20,109.0041,113.8937
2022-10-19,108.9795,113.8907
2022-10-18,108.9548,113.9397
2022-10-17,108.9298,113.9854
2022-10-14,108.9044,114.0442
2022-10-13,108.8785,114.1170
2022-10-12,108.8522,114.1747
2022-10-11,108.8255,114.2710
2022-10-10,108.7981,114.3662
2022-10-07,108.7701,114.4628
2022-10-06,108.7415,114.5508
2022-10-05,108.7123,114.6090
2022-10-04,108.6827,114.6362
2022-10-03,108.6528,114.6658
2022-09-30,108.6225,114.7317
2022-09-29,108.5918,114.8224
2022-09-28,108.5605,114.8888
2022-09-27,108.5287,114.9456
2022-09-26,108.4965,115.0122
2022-09-23,108.4637,115.0770
2022-09-22,108.4305,115.1362
2022-09-21,108.3968,115.1726
2022-09-20,108.3628,115.2128
2022-09-19,108.3283,115.2411
2022-09-16,108.2936,115.2568
2022-09-15,108.2586,115.2768
2022-09-14,108.2233,115.3130
2022-09-13,108.1877,115.3298
2022-09-12,108.1518,115.3508
2022-09-09,108.1157,115.3412
2022-09-08,108.0793,115.3448
2022-09-07,108.0428,115.3550
2022-09-06,108.0061,115.3720
2022-09-02,107.9691,115.3981
2022-09-01,107.9317,115.4149
2022-08-31,107.8941,115.4150
2022-08-30,107.8564,115.4260
2022-08-29,107.8183,115.4269
2022-08-26,107.7801,115.4213
2022-08-25,107.7417,115.4151
2022-08-24,107.7031,115.3763
2022-08-23,107.6646,115.3440
2022-08-22,107.6260,115.2977
2022-08-19,107.5874,115.2437
2022-08-18,107.5489,115.1638
2022-08-17,107.5107,115.0768
2022-08-16,107.4727,115.0004
2022-08-15,107.4348,114.9343
2022-08-12,107.3971,114.8822
2022-08-11,107.3595,114.8378
2022-08-10,107.3220,114.8062
2022-08-09,107.2843,114.7836
2022-08-08,107.2467,114.7791
2022-08-05,107.2088,114.7612
